"cod_cent";"id";"nombre";"tipo_elem";"st_x";"st_y"
"08RL21PM01";6897;"08RL21PM01";"M-30";443542.640625092;4473057.01601836
"12NC63PM01";6875;"12NC63PM01";"M-30";441514.864920006;4471426.11645313
"PM10013";6640;"PM10013";"M-30";442972.371563023;4481561.88531519
"PM20776";6742;"PM20776";"M-30";444290.819523522;4474475.84096737
"14RA02PM01";6869;"14RA02PM01";"M-30";440521.167721082;4471941.53106742
"PM41801";6794;"PM41801";"M-30";437043.446637446;4473548.84623437
"PM23111";6775;"PM23111";"M-30";441783.760038921;4481861.5115577
"PM41852";6795;"PM41852";"M-30";435267.83372504;4472572.73724039
"14RR28PM01";1022;"14RR28PM01";"M-30";440426.352430588;4471893.36337108
"PM40956";10202;"PM40956";"M-30";445018.169387324;4472679.33321316
"05TL00PM01";6904;"05TL00PM01";"M-30";445087.5563612;4472601.34511201
"05FT66PM01";1003;"05FT66PM01";"M-30";436739.489471744;4473387.49141261
"PM20831";6743;"PM20831";"M-30";444182.208427602;4474428.97304016
"PM11074";6820;"PM11074";"M-30";442833.303378656;4471884.32594423
"PM11108";6682;"PM11108";"M-30";442590.968285515;4471630.64588077
"PM11303";6688;"PM11303";"M-30";441382.393584695;4470841.103443
"PM20041";3823;"PM20041";"M-30";442966.223741919;4480982.12241147
"14VE04PM01";1027;"14VE04PM01";"M-30";440417.287833409;4472047.7592252
"16NC07PM01";6847;"16NC07PM01";"M-30";439023.609091245;4472635.38543432
"16NC75PM01";6845;"16NC75PM01";"M-30";438817.817275878;4473205.47904602
"13NC25PM01";6872;"13NC25PM01";"M-30";441282.391042218;4471519.02125345
"13NC95PM01";6871;"13NC95PM01";"M-30";440540.479299398;4471988.07193539
"13NL60PM01";1020;"13NL60PM01";"M-30";440861.371790908;4471428.71069063
"13XC26PM01";6873;"13XC26PM01";"M-30";441053.152727758;4471630.18971686
"PM23181";6776;"PM23181";"M-30";442399.028028592;4481850.3088355
"PM23221";6934;"PM23221";"M-30";443095.113111606;4482005.71079084
"PM23222";6935;"PM23222";"M-30";443102.260103783;4482004.14719392
"15NL09PM01";6858;"15NL09PM01";"M-30";439800.883593493;4472354.84492389
"15NL71PM01";6850;"15NL71PM01";"M-30";439322.329453007;4472648.24441039
"PM31852";6939;"PM31852";"M-30";435187.406559652;4472554.74811236
"PM22851";3560;"PM22851";"M-30";439425.523369721;4481397.04505546
"PM31892";6950;"PM31892";"M-30";432852.821898234;4470252.97367398
"PM31881";6942;"PM31881";"M-30";433648.654431424;4471010.07148417
"PM31882";6941;"PM31882";"M-30";433642.494035925;4471015.01918572
"PM31891";6949;"PM31891";"M-30";432859.339704134;4470246.16366961
"PM22901";6771;"PM22901";"M-30";439909.515744656;4481584.77631725
"PM22392";3559;"PM22392";"M-30";436803.051230225;4479440.55202149
"PM22471";6769;"PM22471";"M-30";436541.564452324;4480173.07156834
"PM22571";3597;"PM22571";"M-30";436893.501535443;4480899.98296073
"PM22572";6816;"PM22572";"M-30";436706.391413322;4480905.58317744
"PM22641";6770;"PM22641";"M-30";437718.706283191;4480754.30877575
"PM22721";3598;"PM22721";"M-30";438314.195138367;4480706.87019147
"PM22781";3599;"PM22781";"M-30";438865.25586545;4480963.37776662
"18RA28PM01";6835;"18RA28PM01";"M-30";438873.711095507;4474534.2895743
"18RA66PM01";1012;"18RA66PM01";"M-30";438850.339830238;4474817.18066354
"18RM17PM01";1011;"18RM17PM01";"M-30";438765.81694086;4474637.20509109
"PM10662";6665;"PM10662";"M-30";444079.724324282;4475598.33322978
"15RV50PM01";6851;"15RV50PM01";"M-30";439324.392470996;4472661.38375321
"15XC54PM01";6853;"15XC54PM01";"M-30";439479.460777849;4472516.16998434
"16RE18PM01";1039;"16RE18PM01";"M-30";438754.23734508;4472959.50366264
"PM20412";6726;"PM20412";"M-30";443947.741095662;4478159.59164986
"PM20441";6727;"PM20441";"M-30";444060.407249478;4477640.10007016
"PM21081";6756;"PM21081";"M-30";442832.641534016;4471850.51716285
"PM21148";6757;"PM21148";"M-30";442406.928247906;4471293.43556452
"PM23071";6773;"PM23071";"M-30";441572.152789702;4481972.56409201
"PM23073";6774;"PM23073";"M-30";441566.55386647;4481964.65157948
"16XC14PM01";6846;"16XC14PM01";"M-30";439006.770918873;4472568.75697131
